Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
1.00,14999.99,14999.99,14880.96,14926.04,17.56,262486.95,14946.77
2.00,14926.03,14969.95,14829.84,14933.33,14.17,211304.77,14914.79
3.00,14933.33,14975.21,14909.93,14969.21,9.1,135982.81,14947.89
4.00,14969.21,14972.21,14925.66,14971.99,20.26,302972.12,14951.02
5.00,14971.99,15101.41,14958.01,15101.4,108,1621813.82,15016.19
6.00,15101.41,15101.41,15050.1,15051.26,7.18,108342.52,15086.83
7.00,15101.39,15101.41,15051.21,15082.42,19.53,294790.56,15092.46
8.00,15082.41,15082.41,14978.35,15050,29.28,440124.96,15032.71
9.00,15049.99,15050,14991,15019.95,14.98,225178.94,15030.87
10.00,15030.78,15038.24,14971.13,14971.13,11.97,179481.9,14999.57
11.00,14969.73,15050,14969.73,15023.71,13.79,206778.87,14993.24
12.00,15038.74,15179.68,15022.96,15179.68,101.11,1525179.54,15084.52
13.00,15179.68,15210.51,15146.81,15210.51,25.35,385137.6,15194.45
14.00,15210.51,15214.96,15171,15171,17.35,263819.95,15202.58
15.00,15213.99,15214.96,15171.3,15214.96,10.27,156134.29,15207.34
16.00,15209.58,15242,15172.03,15239.21,20.81,316643.64,15215.33
17.00,15222.38,15246.98,15115.08,15124.97,10.04,152418.4,15179.07
18.00,15124.97,15124.97,14969.73,15030.63,41.5,623092.24,15013.96
19.00,15079.93,15132.75,15000.31,15132.75,20.88,314594.28,15066.82
20.00,15134.52,15208.3,15087.4,15143.01,29.22,442846.24,15156.09
21.00,15143.01,15200.02,15082.21,15134.13,30.66,464469.23,15147.42
22.00,15196.92,15253,15134.22,15253,49.43,752953.39,15232.92
23.00,15253,15300,15250,15275,28.77,439688.33,15282
24.00,15275,15318.99,15240.31,15272.36,9.77,149282.54,15274.67
25.00,15290.11,15290.11,15200.13,15204.23,30.35,462574.45,15241.82
26.00,15202.72,15275.18,15198.47,15242.28,11.8,179736.86,15228.11
27.00,15242.28,15253,15200.07,15253,11.5,175192.72,15240.48
28.00,15253,15277.3,15222.98,15276.87,27.76,423766.77,15263.59
29.00,15276.87,15276.87,15201,15244.79,20.14,307057.97,15245.07
30.00,15244.79,15279.53,15207.38,15207.38,19.17,292158.03,15236.84
31.00,15201,15271.63,15185.46,15229.77,10.89,165591.66,15208.91
32.00,15267.75,15267.75,15170.19,15217.74,15.44,234989.29,15217.04
33.00,15217.74,15217.74,15171.5,15216.71,9.28,141091.95,15207.22
34.00,15178.8,15256.96,15160,15239.55,30.71,466614.45,15195.99
35.00,15200.44,15282,15200.44,15239.5,10.43,159059.91,15252.51
36.00,15259,15279.64,15210.82,15274.69,6.15,93899.77,15270.27
37.00,15274.69,15284,15178.02,15283.98,6.45,98391.76,15254.42
38.00,15277.68,15284,15235.04,15284,5.63,86036.9,15276.46
39.00,15271.01,15320,15255.83,15308.94,19.91,304407.33,15292.23
40.00,15308.57,15319.95,15264.98,15300,28.53,436534.88,15300.1
41.00,15300,15300,15275.14,15300,11.96,182949.23,15298.74
42.00,15299.98,15300,15290,15300,5.17,79118.74,15297.8
43.00,15300,15323,15299.9,15323,26.82,410497.9,15305.84
44.00,15322.36,15329.36,15302.53,15329.36,9.87,151307.79,15327.16
45.00,15303,15303,15169.57,15234.09,25,380715.43,15229.43
46.00,15234.09,15267.42,15181.35,15267.21,9.3,141735.48,15235.75
47.00,15251.01,15276.83,15250,15262.63,9.78,149275.52,15258.58
48.00,15250,15271.16,15200.03,15200.27,19.73,300798.11,15246.31
49.00,15210.02,15294.55,15210.02,15270.32,5.42,82646.57,15254.73
50.00,15270.33,15279.31,15178.5,15250.05,8.64,131804.45,15253.93
51.00,15180.97,15302.99,15180.97,15302.58,16.45,251253.41,15272.7
52.00,15302.57,15327.31,15228.07,15293.5,17.31,264896.33,15300.13
53.00,15293.51,15350,15287.37,15350,16.18,248054.77,15333.07
54.00,15290.03,15350,15279.77,15349.99,8.52,130562.44,15331.49
55.00,15350,15350,15287.46,15344.1,6.58,100859.99,15335.54
56.00,15293.08,15343.6,15280.8,15341.07,7.82,119754.48,15321.54
57.00,15341.05,15341.07,15264.88,15328.28,8.77,134117.65,15295.28
58.00,15312.66,15330.18,15249.88,15280.11,6.59,100704.68,15292.76
59.00,15280.11,15350,15268.17,15350,11.92,182802.53,15329.57
60.00,15350,15360.95,15297.55,15353.8,8.13,124636.69,15332.13
61.00,15353.79,15367.18,15297.02,15358.98,20.28,311049.02,15334.75
62.00,15299.93,15352.92,15265.71,15320.93,15.41,236072.39,15314.75
63.00,15315.26,15330,15248.62,15283.22,19.81,302946.95,15294.15
64.00,15314.65,15330,15268.78,15268.78,22.65,346701.56,15310.24
65.00,15268.77,15300,15233.33,15296.01,22.77,347880,15275.27
66.00,15296,15296.01,15243.81,15290.42,14.33,218716.87,15265.36
67.00,15243.81,15289.13,15149.83,15200.99,20.19,306867.97,15200.3
68.00,15200.99,15229.99,15089.6,15089.6,44.07,667179.14,15138.08
69.00,15083.03,15112.68,14948.03,14954.63,84.76,1271720.51,15003.11
70.00,14954.63,15037.7,14914.05,14914.05,40.05,599668.21,14972.17
71.00,14914.06,15045.31,14910.3,15044.8,59.73,892982.13,14951.46
72.00,15044.71,15100.74,14993,15040.54,69.84,1052215.66,15066.6
73.00,15034.39,15100,14988,15030,115.93,1739843.07,15007.19
74.00,15041.13,15089.83,14988.04,15064.3,9.72,145915.25,15018.57
75.00,15020,15149.99,15020,15138.22,17.98,271718.2,15116.04
76.00,15138.21,15150,15075,15075,12.1,182648.8,15097.55
77.00,15100.43,15131.89,15075,15077.1,17.12,258207.47,15085.38
78.00,15077.11,15077.11,15000,15042.96,8.92,134220.68,15039.05
79.00,14990.02,15058.86,14980.02,15015.4,5.75,86443,15021.87
80.00,14994.25,15049.56,14816.87,14816.89,87.76,1304488.22,14865.11
81.00,14816.89,15022.41,14816.89,14965.82,16.15,240737.76,14905.62
82.00,14965.82,15022.39,14908.03,14981.21,20.84,312255.59,14982.03
83.00,14981.21,15024.28,14897,15024.27,42.52,636548.07,14970.88
84.00,15024.27,15024.28,14947.38,15020.58,16.58,248736.61,15000.27
85.00,14948.76,15067.25,14930.89,15048.98,19.48,291955.44,14987.84
86.00,15067.23,15099.93,15033.33,15097.6,20.97,315959.42,15069.19
87.00,15097.58,15097.99,15033.34,15084.99,13.32,200626.32,15058.21
88.00,15084.99,15094.19,15000.01,15057.26,7.65,115166.74,15051.21
89.00,15057.26,15087.85,15010.34,15018.82,18.85,284177.87,15072.93
90.00,15018.82,15139.17,15018.82,15136,34.7,524324.22,15109.63
91.00,15136,15139.17,15100.02,15107.02,8.8,133203.1,15133.17
92.00,15107.05,15153.49,15107,15151.15,15.86,240100.09,15143.45
93.00,15151.15,15206.07,15114.02,15204.87,33.04,501446.1,15174.97
94.00,15204.87,15250,15180.94,15233.93,23.71,360803.26,15215.29
95.00,15233.92,15253,15170.07,15202.97,50.06,762458.36,15232.33
96.00,15202.96,15243.44,15169.15,15169.25,27.91,424517.31,15208.52
97.00,15169.99,15200,15130.81,15183.07,26.66,404272.39,15161.21
98.00,15131.01,15234.92,15130.91,15204.98,29.23,443766.58,15184.15
99.00,15204.98,15249.04,15165.87,15190.26,26.33,400478.59,15210.91
100.00,15190.26,15248.99,15168.05,15200,15.5,235473.62,15195.61
101.00,15199.99,15247.59,15167.16,15170.3,28.6,435082.44,15211.67
102.00,15222.94,15249.47,15159.2,15169,11.51,174916.37,15201.49
103.00,15168.02,15241.07,15152.54,15218,17.19,260976.44,15183
104.00,15167.89,15253,15166.85,15218.41,42.54,647370.84,15219.53
105.00,15218.4,15290.14,15218.3,15283.93,68.85,1050511.36,15257.76
106.00,15283.93,15291.1,15219.28,15227.34,32.05,489151.72,15264.18
